id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
95679,4,8,2020,3,2,2020-08-04
95703,2,9,2020,3,2,2020-09-02
95711,14,5,2021,2,1,2021-05-14
95740,9,9,2021,3,2,2021-09-09
95742,9,7,2021,3,2,2021-07-09
95746,24,11,2020,4,2,2020-11-24
95760,10,7,2021,3,2,2021-07-10
95762,25,1,2016,1,1,2016-01-25
95764,27,7,2021,3,2,2021-07-27
95768,28,7,2021,3,2,2021-07-28
95771,17,5,2014,2,1,2014-05-17
95774,3,8,2019,3,2,2019-08-03
95775,6,8,2019,3,2,2019-08-06
95778,16,7,2021,3,2,2021-07-16
95782,24,9,2015,3,2,2015-09-24
95789,7,5,2020,2,1,2020-05-07
95792,11,9,2017,3,2,2017-09-11
95795,29,6,2010,2,1,2010-06-29
95796,28,3,2021,1,1,2021-03-28
95811,25,7,2020,3,2,2020-07-25
95832,23,8,2021,3,2,2021-08-23
95858,20,7,2021,3,2,2021-07-20
95887,9,8,2019,3,2,2019-08-09
95889,4,8,2019,3,2,2019-08-04
95909,24,7,2010,3,2,2010-07-24
95918,17,8,2019,3,2,2019-08-17
95927,22,5,2021,2,1,2021-05-22
95933,6,6,2021,2,1,2021-06-06
95938,22,3,2017,1,1,2017-03-22
95939,10,1,2017,1,1,2017-01-10
95945,2,3,2017,1,1,2017-03-02
95946,30,10,2014,4,2,2014-10-30
95947,3,3,2017,1,1,2017-03-03
95956,8,9,2018,3,2,2018-09-08
95970,13,7,2021,3,2,2021-07-13
95974,18,7,2020,3,2,2020-07-18
95989,22,7,2021,3,2,2021-07-22
95991,23,7,2021,3,2,2021-07-23
96019,28,7,2020,3,2,2020-07-28
96043,21,7,2020,3,2,2020-07-21
96066,21,12,2015,4,2,2015-12-21
96115,25,11,2016,4,2,2016-11-25
96139,9,6,2021,2,1,2021-06-09
96142,4,11,2019,4,2,2019-11-04
96158,12,5,2021,2,1,2021-05-12
96246,28,3,2015,1,1,2015-03-28
96263,10,9,2021,3,2,2021-09-10
96289,29,8,2020,3,2,2020-08-29
96296,29,6,2021,2,1,2021-06-29
96308,12,12,2020,4,2,2020-12-12
96309,2,7,2021,3,2,2021-07-02
96314,13,3,2021,1,1,2021-03-13
96335,3,8,2021,3,2,2021-08-03
96337,11,5,2010,2,1,2010-05-11
96339,27,1,2019,1,1,2019-01-27
96344,20,10,2018,4,2,2018-10-20
96363,6,5,2018,2,1,2018-05-06
96371,5,9,2020,3,2,2020-09-05
96382,26,11,2019,4,2,2019-11-26
96413,21,5,2018,2,1,2018-05-21
96423,21,6,2021,2,1,2021-06-21
96424,8,5,2018,2,1,2018-05-08
96444,24,4,2019,2,1,2019-04-24
96490,18,4,2019,2,1,2019-04-18
96506,19,2,2019,1,1,2019-02-19
96510,20,5,2018,2,1,2018-05-20
96523,1,5,2015,2,1,2015-05-01
96539,25,3,2014,1,1,2014-03-25
96542,26,1,2012,1,1,2012-01-26
96558,3,6,2020,2,1,2020-06-03
96559,15,2,2019,1,1,2019-02-15
96590,21,11,2020,4,2,2020-11-21
96653,2,5,2018,2,1,2018-05-02
96671,3,8,2018,3,2,2018-08-03
96725,11,9,2020,3,2,2020-09-11
96730,16,10,2020,4,2,2020-10-16
96732,23,2,2020,1,1,2020-02-23
96749,10,6,2020,2,1,2020-06-10
96762,16,12,2017,4,2,2017-12-16
96772,12,1,2021,1,1,2021-01-12
96774,24,4,2015,2,1,2015-04-24
96784,11,10,2020,4,2,2020-10-11
96798,12,6,2021,2,1,2021-06-12
96804,25,7,2021,3,2,2021-07-25
96841,9,9,2016,3,2,2016-09-09
96844,19,12,2020,4,2,2020-12-19
96863,4,6,2021,2,1,2021-06-04
96870,2,5,2021,2,1,2021-05-02
96876,29,5,2021,2,1,2021-05-29
96884,27,3,2020,1,1,2020-03-27
96886,18,9,2020,3,2,2020-09-18
96890,19,5,2007,2,1,2007-05-19
96893,20,6,2021,2,1,2021-06-20
96899,30,1,2021,1,1,2021-01-30
96901,22,8,2020,3,2,2020-08-22
96906,19,1,2019,1,1,2019-01-19
96916,19,3,2020,1,1,2020-03-19
96918,20,2,2021,1,1,2021-02-20
96941,12,11,2020,4,2,2020-11-12
96942,5,1,2019,1,1,2019-01-05
96950,11,4,2021,2,1,2021-04-11
96956,23,3,2021,1,1,2021-03-23
96957,8,1,2019,1,1,2019-01-08
96995,26,8,2020,3,2,2020-08-26
97019,14,9,2016,3,2,2016-09-14
97035,16,7,2015,3,2,2015-07-16
97114,5,7,2021,3,2,2021-07-05
97139,12,8,2012,3,2,2012-08-12
97140,8,12,2017,4,2,2017-12-08
97142,4,10,2019,4,2,2019-10-04
97144,22,10,2016,4,2,2016-10-22
97145,5,9,2015,3,2,2015-09-05
97159,17,6,2015,2,1,2015-06-17
97201,13,6,2021,2,1,2021-06-13
97209,25,6,2020,2,1,2020-06-25
97210,4,7,2020,3,2,2020-07-04
97222,4,12,2015,4,2,2015-12-04
97225,16,3,2014,1,1,2014-03-16
97228,2,4,2013,2,1,2013-04-02
97229,20,7,2017,3,2,2017-07-20
97230,18,2,2017,1,1,2017-02-18
97234,21,4,2021,2,1,2021-04-21
97236,1,8,2017,3,2,2017-08-01
97263,1,2,2021,1,1,2021-02-01
97306,30,4,2021,2,1,2021-04-30
97337,9,3,2016,1,1,2016-03-09
97338,27,11,2016,4,2,2016-11-27
97339,25,3,2017,1,1,2017-03-25
97340,11,12,2020,4,2,2020-12-11
97345,26,8,2017,3,2,2017-08-26
97360,6,4,2021,2,1,2021-04-06
97390,1,7,2014,3,2,2014-07-01
97392,6,7,2021,3,2,2021-07-06
97395,25,6,2021,2,1,2021-06-25
97398,18,4,2021,2,1,2021-04-18
97431,19,8,2020,3,2,2020-08-19
97449,30,5,2018,2,1,2018-05-30
97456,8,4,2021,2,1,2021-04-08
97461,29,1,2016,1,1,2016-01-29
97462,13,5,2021,2,1,2021-05-13
97473,1,7,2021,3,2,2021-07-01
97527,31,12,2000,4,2,2000-12-31
97540,8,6,2021,2,1,2021-06-08
97541,30,6,2021,2,1,2021-06-30
97548,9,9,2020,3,2,2020-09-09
97549,27,8,2011,3,2,2011-08-27
97550,21,9,2012,3,2,2012-09-21
97551,2,12,2010,4,2,2010-12-02
97560,17,9,2016,3,2,2016-09-17
97563,18,6,2021,2,1,2021-06-18
97567,27,12,2020,4,2,2020-12-27
97571,28,6,2021,2,1,2021-06-28
97585,27,5,2021,2,1,2021-05-27
97586,24,6,2021,2,1,2021-06-24
97630,27,6,2021,2,1,2021-06-27
97631,8,9,2020,3,2,2020-09-08
97634,4,5,2019,2,1,2019-05-04
97641,3,10,2020,4,2,2020-10-03
97643,12,8,2020,3,2,2020-08-12
97649,2,6,2021,2,1,2021-06-02
97655,12,9,2019,3,2,2019-09-12
97677,18,10,2020,4,2,2020-10-18
97679,4,10,2020,4,2,2020-10-04
97684,9,6,2020,2,1,2020-06-09
97688,18,12,2020,4,2,2020-12-18
97700,12,6,2020,2,1,2020-06-12
97723,19,6,2021,2,1,2021-06-19
97742,12,2,2020,1,1,2020-02-12
97746,27,3,2021,1,1,2021-03-27
97770,11,6,2021,2,1,2021-06-11
97796,26,3,2021,1,1,2021-03-26
97799,6,2,2021,1,1,2021-02-06
97854,16,12,2016,4,2,2016-12-16
97881,16,2,2014,1,1,2014-02-16
97888,14,12,2019,4,2,2019-12-14
97894,25,7,2015,3,2,2015-07-25
98013,22,12,2020,4,2,2020-12-22
98048,26,10,2019,4,2,2019-10-26
98054,7,6,2021,2,1,2021-06-07
98069,31,3,2021,1,1,2021-03-31
98072,1,12,2018,4,2,2018-12-01
98078,4,1,2019,1,1,2019-01-04
98080,21,5,2019,2,1,2019-05-21
98088,4,5,2018,2,1,2018-05-04
98090,13,10,2017,4,2,2017-10-13
98091,20,10,2017,4,2,2017-10-20
98097,14,6,2020,2,1,2020-06-14
98100,30,6,2018,2,1,2018-06-30
98104,9,7,2019,3,2,2019-07-09
98107,5,7,2020,3,2,2020-07-05
98115,30,11,2019,4,2,2019-11-30
98119,13,10,2018,4,2,2018-10-13
98121,13,6,2020,2,1,2020-06-13
98124,2,5,2010,2,1,2010-05-02
98129,21,9,2017,3,2,2017-09-21
98130,8,5,2019,2,1,2019-05-08
98139,15,5,2021,2,1,2021-05-15
98140,27,7,2020,3,2,2020-07-27
98142,17,6,2019,2,1,2019-06-17
98149,2,1,2015,1,1,2015-01-02
98150,12,12,2017,4,2,2017-12-12
98157,29,6,2018,2,1,2018-06-29
98162,29,5,2020,2,1,2020-05-29
98166,8,7,2019,3,2,2019-07-08
98167,25,8,2018,3,2,2018-08-25
98169,20,1,2021,1,1,2021-01-20
98191,20,7,2018,3,2,2018-07-20
98210,1,8,2019,3,2,2019-08-01
98243,31,8,2020,3,2,2020-08-31
98250,2,6,2018,2,1,2018-06-02
98254,3,6,2018,2,1,2018-06-03
98281,28,12,2011,4,2,2011-12-28
98289,8,9,2011,3,2,2011-09-08
98292,30,7,2020,3,2,2020-07-30
98325,19,7,2014,3,2,2014-07-19
98334,15,2,2020,1,1,2020-02-15
98349,19,4,2009,2,1,2009-04-19
98350,28,1,2020,1,1,2020-01-28
98361,2,10,2016,4,2,2016-10-02
98362,5,4,2020,2,1,2020-04-05
98366,7,3,2021,1,1,2021-03-07
98368,21,8,2020,3,2,2020-08-21
98383,19,2,2017,1,1,2017-02-19
98413,22,4,2019,2,1,2019-04-22
98439,23,6,2021,2,1,2021-06-23
98464,28,4,2010,2,1,2010-04-28
98469,28,5,2021,2,1,2021-05-28
98490,8,8,2015,3,2,2015-08-08
98498,30,6,2020,2,1,2020-06-30
98521,11,3,2014,1,1,2014-03-11
98551,18,5,2021,2,1,2021-05-18
98595,25,7,2010,3,2,2010-07-25
98596,16,5,2018,2,1,2018-05-16
98598,19,6,2018,2,1,2018-06-19
98613,11,5,2019,2,1,2019-05-11
98616,1,3,2020,1,1,2020-03-01
98623,15,7,2019,3,2,2019-07-15
98636,27,1,2018,1,1,2018-01-27
98674,17,4,2010,2,1,2010-04-17
98677,23,2,2021,1,1,2021-02-23
98684,15,9,2020,3,2,2020-09-15
98685,18,11,2020,4,2,2020-11-18
98694,21,6,2020,2,1,2020-06-21
98698,16,5,2021,2,1,2021-05-16
