id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
102064,31,1,2017,1,1,2017-01-31
102149,21,9,2019,3,2,2019-09-21
102200,31,10,2018,4,2,2018-10-31
102339,2,8,2020,3,2,2020-08-02
102476,19,11,2016,4,2,2016-11-19
102477,4,3,2016,1,1,2016-03-04
102563,8,4,2011,2,1,2011-04-08
102577,24,8,2019,3,2,2019-08-24
102579,2,1,2016,1,1,2016-01-02
102628,10,11,2012,4,2,2012-11-10
102739,28,9,2011,3,2,2011-09-28
102748,28,9,2017,3,2,2017-09-28
102759,25,5,2018,2,1,2018-05-25
102763,16,7,2008,3,2,2008-07-16
102765,26,10,2020,4,2,2020-10-26
102766,3,7,2011,3,2,2011-07-03
102768,29,5,2019,2,1,2019-05-29
102815,10,7,2012,3,2,2012-07-10
102861,13,7,2017,3,2,2017-07-13
102887,16,4,2016,2,1,2016-04-16
102920,8,4,2017,2,1,2017-04-08
102935,2,12,2012,4,2,2012-12-02
102946,6,9,2016,3,2,2016-09-06
102965,30,12,2019,4,2,2019-12-30
102974,16,2,2019,1,1,2019-02-16
102990,22,8,2018,3,2,2018-08-22
103000,12,3,2021,1,1,2021-03-12
103026,30,10,2020,4,2,2020-10-30
103039,9,3,2020,1,1,2020-03-09
103044,15,6,2019,2,1,2019-06-15
103074,1,1,2008,1,1,2008-01-01
103078,1,1,2021,1,1,2021-01-01
103086,7,10,2018,4,2,2018-10-07
103087,20,12,2019,4,2,2019-12-20
103097,16,9,2020,3,2,2020-09-16
103110,30,9,2020,3,2,2020-09-30
103115,16,4,2020,2,1,2020-04-16
103140,1,4,2018,2,1,2018-04-01
103146,24,5,2020,2,1,2020-05-24
103162,6,3,2021,1,1,2021-03-06
103214,8,9,2019,3,2,2019-09-08
103239,25,8,2020,3,2,2020-08-25
103245,5,8,2020,3,2,2020-08-05
103253,23,6,2020,2,1,2020-06-23
103277,21,4,2020,2,1,2020-04-21
103293,30,4,2020,2,1,2020-04-30
103305,12,7,2020,3,2,2020-07-12
103311,11,4,2020,2,1,2020-04-11
103343,27,8,2020,3,2,2020-08-27
103524,2,7,2020,3,2,2020-07-02
103532,16,7,2020,3,2,2020-07-16
103694,14,2,2020,1,1,2020-02-14
103695,24,4,2020,2,1,2020-04-24
103698,24,2,2020,1,1,2020-02-24
103769,27,4,2020,2,1,2020-04-27
103796,28,6,2020,2,1,2020-06-28
103836,10,8,2020,3,2,2020-08-10
103856,5,6,2020,2,1,2020-06-05
103867,26,7,2020,3,2,2020-07-26
103982,25,4,2020,2,1,2020-04-25
104005,10,2,2020,1,1,2020-02-10
104064,1,6,2017,2,1,2017-06-01
104065,3,9,2010,3,2,2010-09-03
104070,18,6,2020,2,1,2020-06-18
