id_camera,nm_camera,nm_fabricante,id_tipo_camera
10742,OPPO A92,OPPO,91
10754,FinePix S5700 S700,FUJIFILM,91
10763,Pixel 3a XL,GOOGLE,91
10764,iPad Air (4th generation),APPLE,91
10765,V2041,VIVO,91
10767,FC3170,DJI,91
10769,DSC-W80,SONY,91
10776,iPhone 6 Plus,APPLE,91
10779,Canon EOS 1200D,CANON,87
10781,SM-N960F,SAMSUNG,91
10786,Canon EOS REBEL T2i,CANON,87
10795,M2102J20SI (bhima),XIAOMI,91
10798,PENTAX K20D,PENTAX,87
10802,NEX-6,SONY,90
10806,Z559DL,ZTE,91
10809,Canon EOS REBEL T4i,CANON,87
10812,SM-N970U,SAMSUNG,91
10815,COOLPIX P520,NIKON,91
10817,Hasselblad X1D II 50C,HASSELBLAD,91
10820,DMC-GX85,PANASONIC,91
10843,NX300M,SAMSUNG,91
10846,moto g(8) plus,MOTOROLA,91
10848,DMC-TZ8,PANASONIC,91
10850,X30,FUJIFILM,91
10852,FSII-20MC,ADI,91
10854,COOLPIX W100,NIKON,91
10856,DSC-HX200V,SONY,91
10867,Canon PowerShot G16,CANON,91
10871,SM-G998B,SAMSUNG,91
10872,SM-G991U,SAMSUNG,91
10878,DMC-LX15,PANASONIC,91
10881,Canon IXUS 275 HS,CANON,91
10882,moto z4,MOTOROLA,91
10891,DMC-TZ7,PANASONIC,91
